experiment,pavloviaSessionId,posixTimeSec,cursorPositionXYPx,crosshairPositionXYPx,targetPositionXYPx,blockNumber,block_condition,conditionNumber,conditionName,trialNumber,pxPerCm,viewingDistanceCm,screenWidthPx,screenHeightPx,nearpointXYPx,trialStep,targetBool,crosshairBool
trackingdemo5,SpicyYellowCake312,1738628117.777,"734,437","741,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.81,"732,437","741,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.819,"732,437","741,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.835,"732,437","741,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.851,"732,437","740,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.884,"731,437","740,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.899,"731,437","740,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.915,"731,437","739,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.95,"731,437","739,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.964,"731,437","739,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.979,"731,437","738,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.019,"731,437","738,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.026,"731,437","738,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.044,"731,437","737,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.085,"731,437","737,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.092,"731,437","737,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.11,"731,437","736,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.144,"731,437","736,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.16,"731,437","736,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.178,"731,437","735,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.186,"731,437","735,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.217,"732,437","735,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.219,"732,437","735,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.236,"733,437","735,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.252,"734,436","734,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.285,"735,436","734,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.299,"735,436","734,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.316,"735,436","733,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.345,"735,436","733,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.347,"735,436","733,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.362,"735,436","733,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.379,"735,436","732,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.417,"735,436","732,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.427,"735,436","732,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.444,"734,436","731,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.484,"732,436","731,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.493,"731,437","731,440",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.51,"731,437","730,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.551,"728,438","730,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.561,"727,438","730,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,40.7,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.577,"726,439","730,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,40.7,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.586,"726,439","730,441",,4,4_1,1,Flies_8deg,1,51.39860139860139,40.7,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.617,"725,439","729,442",,4,4_1,1,Flies_8deg,1,51.39860139860139,40.7,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628118.635,"725,439","729,442",,4,4_1,1,Flies_8deg,1,51.39860139860139,40.7,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
